,Unnamed: 0,cat_name,num_images,num_videos,age,breed,color,size,sex,characteristics,house_trained,health,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set,num_cats,cat_id,thirty_days,other_days,spec_needs,without_story,coat_length_miss,color_miss,more_than_1_cat,video,num_pictures,pictures,breed_type,Days_On_Site
2050,30,Bocella Minnie Squeakerton NYC kitty,4,0,Kitten,Tabby & Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Medium,Female,", Gentle, Playful, Smart, Brave",Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",,,Short,331.0,"Zanis Furry Friends ZFF, Inc",thirty_day_spec_needs,1,"Bocella Minnie Squeakerton NYC kitty Zanis Furry Friends ZFF, Inc",False,False,True,False,Short,Tabby (Gray / Blue / Silver),False,False,4,True,DSH,Less Than Thirty Days
2051,31,Rocco,0,0,Adult,Domestic Short Hair,Orange / Red,Medium,Male,,Yes,"Spayed / neutered, special needs. Rocco is FIV positive, that doesn't mean he cannot live a long healthy life, he can live with non FIV cats as well.",,,,,84.0,Neighborhood Cats Inc.,thirty_day_spec_needs,1,Rocco Neighborhood Cats Inc.,False,False,True,False,unknown,Orange / Red,False,False,0,False,DSH,Less Than Thirty Days
2052,32,puddles,3,0,Young,Domestic Short Hair & Tabby Mix,Gray & White,Small,Female,,,"Special needs. yes, has pull tail ingury needs bladder expressed.",Other cats.,,,,94.0,Puppy Kitty NY City,thirty_day_spec_needs,1,puddles Puppy Kitty NY City,False,False,True,False,unknown,Gray & White,False,False,3,True,DSH,Less Than Thirty Days
2053,33,tessa CH (bonded Lola),0,0,Young,Domestic Short Hair,Black & White / Tuxedo,Small,Female,,,"Spayed / neutered, special needs. CH.",Other cats.,,,,118.0,Puppy Kitty NY City,thirty_day_spec_needs,1,tessa CH (bonded Lola) Puppy Kitty NY City,False,False,True,False,unknown,Black & White / Tuxedo,False,False,0,False,DSH,Less Than Thirty Days
2054,34,janey,4,0,Adult,Tabby,Tabby (Buff / Tan / Fawn),Small,Female,,,"Spayed / neutered, special needs. Has urine leakage since being hit by a car.",,,,,159.0,Puppy Kitty NY City,thirty_day_spec_needs,1,janey Puppy Kitty NY City,False,False,True,False,unknown,Tabby (Buff / Tan / Fawn),False,False,4,True,DSH,Less Than Thirty Days
2055,35,avalache,4,0,Adult,Domestic Short Hair,White,Small,Male,,Yes,"Spayed / neutered, special needs. on Prozac for anxiety, may be other cat related.",,,"Other cats, dogs.",,168.0,Puppy Kitty NY City,thirty_day_spec_needs,1,avalache Puppy Kitty NY City,False,False,True,False,unknown,White,False,False,4,True,DSH,Less Than Thirty Days
2056,36,Baxter,3,0,Adult,Domestic Short Hair Mix,Orange & White,Medium,Male,,,"Vaccinations up to date, spayed / neutered, special needs. See below description for more information on Baxter and why he required a special, patient adopter.",Other cats.,,"Dogs, children.",Short,183.0,Puppy Kitty NY City,thirty_day_spec_needs,1,Baxter Puppy Kitty NY City,False,False,True,False,Short,Orange & White,False,False,3,True,DSH,Less Than Thirty Days
2057,37,Nori,4,0,Adult,Domestic Short Hair,,Medium,Female,,Yes,"Vaccinations up to date, special needs.",Dogs.,,,,22.0,Lawns to Laps Cat Rescue,thirty_day_spec_needs,1,Nori Lawns to Laps Cat Rescue,False,False,True,False,unknown,unknown,False,False,4,True,DSH,Less Than Thirty Days
2058,38,Lady,5,0,Adult,Domestic Medium Hair,,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,$125.00,"Dogs, children.",,22.0,Lawns to Laps Cat Rescue,thirty_day_spec_needs,1,Lady Lawns to Laps Cat Rescue,False,False,True,False,unknown,unknown,False,False,5,True,Other,Less Than Thirty Days
2059,39,Ricardo,0,0,Adult,Domestic Short Hair,Orange & White,Medium,Male,"playful, clumbsy, handsome, active, charming, smart, Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Brave, Curious, Independent, Funny, Dignified, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered, special needs.","Dogs, other animals. Friendly Dogs and other cats with more submissive personalities.",$100.00,,Short,133.0,"Inky Blue Sea Companion Animal Rescue,…",thirty_day_spec_needs,1,"Ricardo Inky Blue Sea Companion Animal Rescue,…",False,False,True,False,Short,Orange & White,False,False,0,False,DSH,Less Than Thirty Days
2060,40,Baby Nives,4,0,Kitten,Tabby,Tabby (Brown / Chocolate),Medium,Female,"Friendly, Affectionate, Playful, Athletic, initially shy",Yes,"Vaccinations up to date, special needs.","Other cats, dogs, children.",$150.00,,Short,98.0,NYC Teens for Animals,thirty_day_spec_needs,1,Baby Nives NYC Teens for Animals,False,False,True,False,Short,Tabby (Brown / Chocolate),False,False,4,True,DSH,Less Than Thirty Days
2061,41,SOPHIE,4,1,Kitten,Domestic Short Hair & Tabby Mix,Tabby (Gray / Blue / Silver),Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",$100.00,,,166.0,Cypress Feline Rescue,thirty_day_spec_needs,1,SOPHIE Cypress Feline Rescue,False,False,True,False,unknown,Tabby (Gray / Blue / Silver),False,True,4,True,DSH,Less Than Thirty Days
2062,42,GIMPY,5,1,Young,Domestic Medium Hair & Siamese Mix,Seal Point,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Children, other animals. Gimpy seems to growl at other cats near her so she may be better as an only cat.",$150.00,Other cats.,Short,190.0,Cypress Feline Rescue,thirty_day_spec_needs,1,GIMPY Cypress Feline Rescue,False,False,True,False,Short,Seal Point,False,True,5,True,DSH,Less Than Thirty Days
2063,43,Bulldog,3,1,Young,Domestic Long Hair,Black & White / Tuxedo,Large,Male,"Friendly, Affectionate, Gentle, Couch potato, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",$150.00,,Long,249.0,Bronx Tails Cat Rescue,spec_needs_other,1,Bulldog Bronx Tails Cat Rescue,False,False,True,False,Long,Black & White / Tuxedo,False,True,3,True,DLH,Less Than Thirty Days
2064,44,PENNY RIVERA,5,0,Young,Domestic Short Hair,Black,Small,Female,"THE SWEETEST, SNUGGLY, SPECIAL, PLAYFUL, LOVEBUG",Yes,"Vaccinations up to date, spayed / neutered, special needs.",Children.,,,Short,199.0,Bronx Tails Cat Rescue,spec_needs_other,1,PENNY RIVERA Bronx Tails Cat Rescue,False,False,True,False,Short,Black,False,False,5,True,DSH,Less Than Thirty Days
2065,45,Iris L (FeLV+),6,0,Young,Domestic Short Hair,Black,Medium,Female,"loving, affectionate, sweet, felv",Yes,"Vaccinations up to date, spayed / neutered, special needs. Iris is an FeLV+ (Feline Leukemia positive) kitty. FeLV is a viral infection of cats (ONLY) that can impair a cat's immune system and cause certain types of cancers. There is no cure for FeLV, so most treatment of FeLV-positive cats involves supportive care. Most cats with FeLV live normal lives, but their life span tends to be shorter. Still, adult cats can live many healthy years with the illness.",Children.,,,Short,402.0,Bronx Tails Cat Rescue,thirty_day_spec_needs,1,Iris L (FeLV+) Bronx Tails Cat Rescue,False,False,True,False,Short,Black,False,False,6,True,DSH,Less Than Thirty Days
2066,46,Sprinkles,3,0,Young,Domestic Long Hair,White,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Special diet due to his allergies.","Other cats, dogs, children.",,,Long,339.0,Louie's Legacy Animal Rescue,thirty_day_spec_needs,1,Sprinkles Louie's Legacy Animal Rescue,False,False,True,False,Long,White,False,False,3,True,DLH,Less Than Thirty Days
2067,47,"Domino, Soul in Need of Rescue",4,0,Adult,American Shorthair & Domestic Medium Hair Mix,Black & White / Tuxedo,Medium,Male,Sad,Yes,"Vaccinations up to date, spayed / neutered, special needs. Boy with one leg.",,,,Medium,69.0,Forever Animal Rescue Inc.,thirty_day_spec_needs,1,"Domino, Soul in Need of Rescue Forever Animal Rescue Inc.",False,False,True,False,Medium,Black & White / Tuxedo,False,False,4,True,DSH,Less Than Thirty Days
2068,48,Peach and Banana (Bonded Pair),6,0,Young,Domestic Short Hair & Domestic Medium Hair Mix,Tabby (Orange / Red),Medium,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Curious, Funny, Loyal, Brave, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,,374.0,Frisky Fosters,spec_needs_other,1,Peach and Banana (Bonded Pair) Frisky Fosters,False,False,True,False,unknown,Tabby (Orange / Red),True,False,6,True,DSH,Less Than Thirty Days
2069,49,Hayley,5,0,Adult,Domestic Short Hair,Gray & White,Large,Female,"Loving, Sweet, Playful",Yes,"Vaccinations up to date, spayed / neutered, special needs. Tripod - back left leg had to be amputated. Doesn't affect her mobility at all.","Other cats, children.",,,Short,195.0,R and M Rockin' Rescues,thirty_day_spec_needs,1,Hayley R and M Rockin' Rescues,False,False,True,False,Short,Gray & White,False,False,5,True,DSH,Less Than Thirty Days
2070,50,Hunk,4,0,Adult,Tuxedo,Black & White / Tuxedo,Large,Male,"Loving, Sweet, Playful, Extremely social",Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",,,Short,42.0,R and M Rockin' Rescues,thirty_day_spec_needs,1,Hunk R and M Rockin' Rescues,False,False,True,False,Short,Black & White / Tuxedo,False,False,4,True,DSH,Less Than Thirty Days
2071,51,Cindy Lou Who,2,0,Adult,Domestic Short Hair & Tabby Mix,Tabby (Brown / Chocolate),Medium,Female,"Loving, Playful, Active, Sweet",Yes,"Vaccinations up to date, spayed / neutered, special needs. Cindy Lou has food allergies and can only eat Royal Canin Limited Protein rabbit wet and dry food. Otherwise, she in good health.","Other cats, dogs.",,Children.,Short,108.0,R and M Rockin' Rescues,thirty_day_spec_needs,1,Cindy Lou Who R and M Rockin' Rescues,False,False,True,False,Short,Tabby (Brown / Chocolate),False,False,2,True,DSH,Less Than Thirty Days
2072,52,Kingston,3,0,Adult,Domestic Short Hair,,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Special food.","Other cats, dogs, children.",$50.00,,,101.0,Second Chance Rescue,thirty_day_spec_needs,1,Kingston Second Chance Rescue,False,False,True,False,unknown,unknown,False,False,3,True,DSH,Less Than Thirty Days
2073,53,Lady Doe,4,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"snuggly, loving, playful, quirky, easygoing, communicative",Yes,"Vaccinations up to date, spayed / neutered, special needs. Lady Doe is an FIV+ cat - but do NOT worry. She will live a long, happy, healthy life just like any non-FIV cat with proper care. That just means she must be in an indoor only home, and make sure she goes to her annual vet visits. FAQ: FIV CANNOT be spread to other species. FIV can only be spread to other cats through deep bite wounds and reproduction. FIV weakens the immune system, so keep cat indoors ONLY. A FIV cat can live as long and healthy of a life as a non-FIV cat as long as you are diligent about their medical care (as you should be for a non-FIV cat, too, TBH). You can learn more about FIV here: https://vbspca.com/what-you-should-know-when-adopting-an-fiv-positive-cat/ https://www.vet.cornell.edu/departments-centers-and-institutes/cornell-feline-health-center/health-information/feline-health-topics/feline-immunodeficiency-virus-fiv.",,$150.00,"Dogs, children.",Short,296.0,Cat Castle NYC,thirty_day_spec_needs,1,Lady Doe Cat Castle NYC,False,False,True,False,Short,Black & White / Tuxedo,False,False,4,True,DSH,Less Than Thirty Days
2074,54,Rubin,5,0,Adult,Domestic Short Hair,Gray & White,Medium,Male,"gentle, loving, easygoing, curious, handsome, cuddly, laid back, Friendly, Affectionate, zoomie, snuggly",Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",$150.00,,Short,158.0,Cat Castle NYC,thirty_day_spec_needs,1,Rubin Cat Castle NYC,False,False,True,False,Short,Gray & White,False,False,5,True,DSH,Less Than Thirty Days
2075,55,Frankie & Grace,6,0,Senior,Domestic Short Hair,Black,Medium,Female,"Gentle, Sweet, Calm",Yes,"Vaccinations up to date, spayed / neutered, special needs. Frankie and Grace are on a specialized diet for UTI. No medications.",,,,Short,153.0,Homeless Animal Adoption League,thirty_day_spec_needs,1,Frankie & Grace Homeless Animal Adoption League,False,False,True,False,Short,Black,True,False,6,True,DSH,Less Than Thirty Days
2076,56,Keats,2,0,Adult,Domestic Short Hair,Black,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Allergies and asthma. No particular care needs now but might need it in the future.",Other cats.,,,Short,166.0,Homeless Animal Adoption League,thirty_day_spec_needs,1,Keats Homeless Animal Adoption League,False,False,True,False,Short,Black,False,False,2,True,DSH,Less Than Thirty Days
2077,57,Liddy,6,0,Adult,Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Medium,Female,"Calm, Sweet",Yes,"Vaccinations up to date, spayed / neutered, special needs. Sweet Liddy has arthritis now. She only takes a supplement for now but it's difficult for her to move around.",,,,Short,134.0,Homeless Animal Adoption League,thirty_day_spec_needs,1,Liddy Homeless Animal Adoption League,False,False,True,False,Short,Tabby (Gray / Blue / Silver),False,False,6,True,DSH,Less Than Thirty Days
2078,58,VINNY,0,0,Young,Tabby & Burmese Mix,Tabby (Gray / Blue / Silver),Small,Male,,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",,,Short,136.0,"For Blake's Sake Rescue, Inc.",spec_needs_other,1,"VINNY For Blake's Sake Rescue, Inc.",False,False,True,False,Short,Tabby (Gray / Blue / Silver),False,False,0,False,DSH,Less Than Thirty Days
2079,59,Heidi *special needs*,3,0,Adult,Domestic Medium Hair,Tabby (Buff / Tan / Fawn),Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Stiff walking- can’t jump or go up / down stairs. Falls in litter box- needs to be bathed often.","Other cats, dogs, other animals. Good with all other pets.",,,Medium,252.0,Yellow Brick Road Rescue NJ,thirty_day_spec_needs,1,Heidi *special needs* Yellow Brick Road Rescue NJ,False,False,True,False,Medium,Tabby (Buff / Tan / Fawn),False,False,3,True,Other,Less Than Thirty Days
2080,60,Cinnamon,3,0,Senior,Domestic Short Hair Mix,,Large,Female,,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",,Dogs.,,61.0,The Animal Project,thirty_day_spec_needs,1,Cinnamon The Animal Project,False,False,True,False,unknown,unknown,False,False,3,True,DSH,Less Than Thirty Days
2081,61,Harvey,6,0,Adult,Domestic Short Hair,Orange / Red,Medium,Male,"Sweet, Cute, Gentle, Loving",Yes,"Vaccinations up to date, spayed / neutered, special needs. He needs someone who can understand his body clues and give him time and patience to adjust to the new house.",,,"Other cats, children.",Short,272.0,Homeless Animal Adoption League,thirty_day_spec_needs,1,Harvey Homeless Animal Adoption League,False,False,True,False,Short,Orange / Red,False,False,6,True,DSH,Less Than Thirty Days
2082,62,Ollie-O,4,1,Adult,American Shorthair,Black,Medium,Male,"Pleasant, companionable, mellow, curious",Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",,,,348.0,daps animals,thirty_day_spec_needs,1,Ollie-O daps animals,False,False,True,False,unknown,Black,False,True,4,True,Other,Less Than Thirty Days
2083,63,VERY URGENT! Checkers needs a foster!,6,0,Young,Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Male,"loving, playful, sweet",Yes,"Spayed / neutered, special needs.",,,,Short,430.0,daps animals,thirty_day_spec_needs,1,VERY URGENT! Checkers needs a foster! daps animals,False,False,True,False,Short,Black & White / Tuxedo,False,False,6,True,DSH,Less Than Thirty Days
2084,64,Hester,3,0,Adult,Domestic Short Hair,,Medium,Female,,Yes,"Spayed / neutered, special needs.",Other cats.,,,,208.0,Give Me Shelter Project,thirty_day_spec_needs,1,Hester Give Me Shelter Project,False,False,True,False,unknown,unknown,False,False,3,True,DSH,Less Than Thirty Days
2085,65,Winston,3,0,Adult,Domestic Short Hair,Gray & White,Medium,Male,,,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,,,23.0,Give Me Shelter Project,thirty_day_spec_needs,1,Winston Give Me Shelter Project,False,False,True,False,unknown,Gray & White,False,False,3,True,DSH,Less Than Thirty Days
2086,66,Tonka,3,0,Young,Tuxedo,,Medium,Male,,Yes,"Spayed / neutered, special needs.",Other cats.,,,,96.0,Give Me Shelter Project,thirty_day_spec_needs,1,Tonka Give Me Shelter Project,False,False,True,False,unknown,unknown,False,False,3,True,DSH,Less Than Thirty Days
